UserID,UserName,Age,Bronze,Silver,Gold,Creation_Date
745828,nabsATX,0,11,1,0,1298455248
3121502,amit.mevada,24,10,0,0,1387514063
2400598,kartavya soni,29,4,0,0,1369029285
1532256,imulsion,36,60,24,9,1342538891
549233,jcbown,0,4,0,0,1292882462
3727681,Neuron,0,2,0,0,1402433200
1909094,Lake,30,13,3,0,1355723610
3121488,Yury,0,1,0,0,1387513587
1728922,Michael_S,0,4,0,0,1349701852
319876,Ahmed Hamdy,24,15,2,0,1271625842
3957181,jmarcoscl,0,3,0,0,1408465393
1630618,vacawama,0,30,11,2,1346164843
1630619,Philippe Gioseffi,29,16,2,0,1346164845
3908021,Tyler Peryea,0,4,0,0,1407181867
598407,Clive Evans,0,10,4,0,1296565678
2859448,goldenboy,33,4,0,0,1381249100
2875839,robinp7720,0,10,0,0,1381659474
1630605,Istv&#225;n �?ri,0,8,1,0,1346164555
3170728,ohnoes_stackoverflown,20,6,1,0,1389126792
2859442,Donuts,0,0,0,0,1381248946
2875825,hasard,23,1,0,0,1381658993
2204093,Ehsan,0,15,1,0,1364112074
598420,Anirudha,24,48,17,5,1296566216
598445,Eric,0,13,4,0,1296566954
598444,WarFox,28,26,13,0,1296566893
647596,mohd874,30,5,0,0,1299471161
1728946,Selphira,23,15,4,0,1349702439
1958324,cauchy,0,5,0,0,1357653194
3170718,Rubicon,0,2,0,0,1389126683
3072384,DrLivingston,0,12,1,0,1386284993
1532344,jonnydee,0,6,1,0,1342541151
2875803,Valentin Waeselynck,23,15,2,0,1381658227
975292,Seshu Vinay,27,69,29,4,1317549919
975289,Dominic Clifton,0,4,0,0,1317549552
3023254,shimizu,0,10,2,0,1385151779
2400664,fasadat,27,14,3,0,1369031260
1302958,Shaikh Farooque,29,20,6,1,1333101424
2400740,rachana,0,22,8,1,1369032796
2302434,Shail016,0,13,2,0,1366470808
2728426,hoomi,0,11,3,1,1377765256
1581531,mike,0,10,3,0,1344332203
2777580,RabidDog5150,0,5,0,0,1379098155
4202886,B&#225;lint,0,3,0,0,1414765783
2728417,stacy,0,3,1,0,1377765055
549312,GroovyDotCom,0,15,4,0,1292889099
1958355,Sudhakar K,30,14,3,0,1357653754
745924,Banthar,0,38,19,1,1304980911
647641,jlr,0,10,3,0,1299474873
4186606,icognito,0,3,0,0,1414426217
2351607,mcat,0,4,0,0,1367746633
2777596,tanayamitshah,26,2,0,0,1379098438
1728973,Algiz,36,10,3,0,1349702910
2859516,Paul Cauchon,26,9,1,0,1381250335
3170794,xirt,0,8,1,0,1389128142
549332,Totoro,0,5,2,0,1248385226
696808,Bacon Bits,0,11,6,1,1302180411
3727836,user3727836,0,3,0,0,1402436811
2875842,ronak Hingar,0,0,0,0,1381659575
8681,Jorn,28,54,28,2,1221496515
3351002,Akos,0,3,0,0,1393327924
1483261,Stefan Pries,0,7,0,0,1340725009
3776981,AngryElPresidente,0,4,0,0,1403730109
3678664,galmosh,0,4,0,0,1401173962
2728408,Remi,25,12,1,0,1377764895
3629510,Platypi,18,8,0,0,1399915822
3056090,Boopathi,23,20,4,1,1385959865
3170757,kemitche,29,11,1,0,1389127343
4104649,Ashik Ali,21,3,0,0,1412306534
1958378,Techmiya,0,4,0,0,1357654273
4202937,Ben Minton,0,5,0,0,1414766537
3776960,anjibcs,0,10,0,0,1403729702
2630099,Milinda Bandara,23,9,3,0,1375097272
975346,Ali,0,19,3,0,1317556167
3121619,Ravi Ghodasara,23,2,0,0,1387517450
2777557,buzz,0,4,1,0,1379097729
3908036,JavaCreeper,0,3,0,0,1407182204
3908155,Nujke,0,2,0,0,1407185609
2302499,berbt,0,11,0,0,1366473070
3957309,Bruno Franco,25,14,1,0,1408467941
4088378,Warabei,0,2,0,0,1411911819
3121703,Nachiket Kate,0,17,3,1,1387519834
1630736,Peter,0,7,0,0,1346167226
696836,djsumdog,35,17,5,0,1302181559
3121697,Vivek,0,4,0,0,1387519689
3957292,Jes&#250;s Daniel Rodr&#237;guez Oyola,0,2,0,0,1408467578
1581576,Biswajit,30,20,9,0,1344333299
2826814,Stamatis Bakolis,19,3,0,0,1380390334
4186661,pdhk14,0,2,0,0,1414426983
647701,Panu,0,6,0,0,1299479311
3957283,Tup,0,5,0,0,1408467474
1532424,ShivvyBee,0,9,3,0,1342543141
1958461,Pete Belford,0,26,11,2,1357656239
1909309,Vutka Bilai,0,2,0,0,1355730419
4186654,voutrin,0,0,0,0,1414426828
3908120,spinster,0,6,0,0,1407184475
1630780,mnaa,26,7,0,0,1346168361
696867,Meysam Hit,0,9,0,0,1302182341
1434175,Nestor Hernandez Loli,0,20,7,0,1338768738
4104725,Roger Chang,0,0,0,0,1412310167
3629596,Tom,25,8,0,0,1399917660
2859527,user2859527,0,2,0,0,1381250597
3957260,perter,0,3,0,0,1408466932
3908107,Akash,0,3,0,0,1407184300
8753,laz,0,38,28,3,1221497297
3170817,user3170817,0,3,0,0,1389128778
3400198,Francisco C.,0,2,0,0,1394422383
3170822,barrick,0,10,3,0,1389128926
975417,Jev Zelenkov,28,23,7,0,1317562603
3121687,RIJO RV,24,12,2,0,1387519319
8761,AlanKley,0,34,21,6,1221497351
2302493,Slava Chirița,0,8,0,0,1366472979
2728470,Rolf Schorpion,0,8,2,0,1377766013
2728553,user2728553,0,4,0,0,1377767427
1630808,marcel,0,6,2,0,1346169005
926282,kavita,0,19,3,1,1315023090
1581650,Kangars,26,16,6,1,1344335121
2351721,sarahjadesigns,30,7,1,0,1367751337
3908208,Warren. Ty.,0,5,1,0,1407187106
2826848,ChriskOlson,0,12,2,0,1380391434
1385048,Repoker,33,7,0,0,1336578018
598599,AutomatedChaos,37,23,5,0,1296573087
3170912,iwolf,0,7,3,0,1389131040
2908799,Visores,0,9,1,0,1382473836
2630270,user2630270,0,9,0,0,1375100847
4088425,ipavl,0,7,0,0,1411913222
1385039,Michael Ekstrand,30,63,36,3,1246366933
3400303,hfinity,0,3,0,0,1394426326
3908196,someDude,0,4,0,0,1407186675
926319,Darren,0,19,7,2,1315028111
3908186,iak,0,4,0,0,1407186470
598637,Pheonixblade9,0,54,17,2,1296574433
1385075,MajoB,29,26,6,1,1336578772
2204230,Martin Tausch,32,13,2,0,1364118482
549472,LeleDumbo,27,24,12,2,1292904895
2957893,Den Rimus,25,14,1,0,1383682460
1385087,Konstantin V. Salikhov,29,26,8,2,1336579068
320111,Stephan Branczyk,0,28,9,1,1271663931
320104,WBAR,31,34,11,0,1271663168
1385083,Jamie,0,10,3,0,1336578974
975457,fusion27,42,16,5,0,1317565619
2957890,T.Woody,24,15,4,0,1383682335
1385063,Piyush,29,9,2,0,1336578461
4088397,Aubrey,0,9,0,0,1411912527
2450000,Daniel John Gomez,18,27,6,2,1370313005
1630817,PSeUdocode,0,6,0,0,1346169327
3351113,Loks,0,7,0,0,1393329496
2957910,Michal Brašna,0,13,3,0,1383682986
2253406,sreisman,0,15,1,0,1365290712
2253407,chuky,22,13,6,0,1365290834
1630872,Krzysiek,0,7,0,0,1346170922
4186814,Antoine Hars,24,2,0,0,1414429707
2728618,Macrosoft-Dev,0,12,2,1,1377768342
1581725,DominikAngerer,20,25,8,1,1344337098
647822,apocalypz,0,10,2,0,1299487665
2581152,Sachin Gadagi,0,11,1,0,1373815764
598656,user598656,0,8,1,0,1296575274
2450092,TheProvost,25,21,2,0,1370316809
2106025,asvni,0,2,0,0,1361766476
4137653,Aksa&#231;lı,0,2,0,0,1413206799
3629756,AThom,0,0,0,0,1399920767
3302079,fornarat,0,4,0,0,1392215325
2106030,chandan,29,10,2,0,1361766523
2302643,nexus_2006,0,22,5,0,1366477626
2253489,dahui,0,14,1,0,1365295237
1630859,user1630859,0,7,1,1,1346170610
2155188,Burak,0,12,4,1,1362967045
2106038,Fat Owl,0,6,1,1,1361766701
1188485,Jim Speaker,0,5,0,0,1328304602
3629742,martin4567,0,6,0,0,1399920510
3400361,Bassel Serio,0,7,0,0,1394427859
3023502,EricM,0,3,0,0,1385157593
975535,San,0,13,8,1,1317571542
828077,Rajesh Rao,28,35,17,4,1309781262
1483447,Lucio Crusca,41,14,3,0,1304585650
3678877,Rems,21,15,0,0,1401178054
3629714,jvrodrigues,0,10,2,0,1399920101
2400908,constpetrov,30,5,0,0,1369036923
3056263,Vignesh C,0,1,0,0,1385964498
2351753,nigelg,0,4,0,0,1367752341
2957955,raging_subs,0,15,3,1,1383683699
2581128,lkamal,0,8,2,0,1373815010
2957954,user2957954,0,6,0,0,1383683683
2859652,Gayathri,0,11,3,0,1381253073
3007132,kedark,0,6,0,0,1384829207
4186766,ColoradoRob,0,2,0,0,1414428900
2826905,zohreh,27,16,3,1,1380393093
3170948,tcollart,22,12,2,0,1389132050
3023513,KathyA.,0,9,2,0,1385157857
2253467,Alexis Leclerc,22,17,6,1,1365294182
172732,John Bickers,0,4,1,0,1252842818
4088448,Fafore Tunde,22,1,0,0,1411914132
2253536,pirate694,0,10,0,0,1365297861
1385174,Adam,0,14,3,0,1336581531
2400995,tvdpol,0,3,0,0,1369038601
1958618,Jay,36,5,2,0,1357659338
2106088,StillLearningToCode,0,9,0,0,1361768129
2532078,DK-,23,9,0,0,1372426936
2106092,user2106092,0,8,0,0,1361768265
4137714,Dmitry Tsarkov,0,3,0,0,1413207866
2908898,Serge,0,9,0,0,1382475912
2908899,Jonerhan,20,8,0,0,1382475931
4088557,CSjunkie,0,7,0,0,1411917444
320220,beerbajay,0,44,22,1,1271673075
2826993,damgad,23,14,1,0,1380395870
1630914,rkv,0,9,1,0,1346171944
4088548,lustful-rat,26,5,1,0,1411917160
1385163,nflearl,0,5,0,0,1336581311
3007180,Hardik Chauhan,23,8,1,0,1384830683
172769,Luc Morin,48,23,8,0,1252855842
2302662,Jake Evans,0,7,0,0,1366478030
3351254,user3351254,0,0,0,0,1393331863
